Ladetype;Anzahl_Ladesaeulen;Ladequote;LKW_pro_Ladesaeule
NCS;1;0,01597051597051597;1,8571428571428572
NCS;51;0,43857493857493857;1,0
NCS;94;0,7039312039312039;0,8708206686930092
NCS;107;0,7837837837837838;0,8518024032042725
NCS;110;0,8022113022113022;0,8480519480519481
HPC;1;0,12403100775193798;13,714285714285714
HPC;7;0,5671834625322998;8,959183673469388
HPC;10;0,7002583979328165;7,742857142857143
HPC;12;0,7700258397932817;7,095238095238095
HPC;13;0,8023255813953488;6,824175824175824
MCS;1;0,15141955835962145;13,714285714285714
MCS;6;0,6703470031545742;10,119047619047619
MCS;8;0,7917981072555205;8,964285714285714
MCS;9;0,8375394321766562;8,428571428571429
